city,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
sj,18,-0.0189,-0.0189,0.1027286,0.0912,78.6,298.492857143,294.527142857,296.4,25.37,78.7814285714,3.12857142857,26.5285714286,7.05714285714,33.3,21.7,75.2,12.160951711788769
sj,19,-0.018,-0.0124,0.08204286,0.07231429,12.56,298.475714286,294.395714286,296.7,21.83,78.23,2.57142857143,26.0714285714,5.55714285714,30,22.2,34.3,6.5193615788080415
sj,20,-0.0015,-0.0124,0.1510833,0.09152857,3.66,299.455714286,295.308571429,296.4,4.12,78.27,4.42857142857,27.9285714286,7.78571428571,32.8,22.8,3,12.092527328661468
sj,21,-0.0015,-0.01986667,0.1243286,0.1256857,0,299.69,294.402857143,296.9,2.2,73.0157142857,4.34285714286,28.0571428571,6.27142857143,33.3,24.4,0.3,7.617168446032743
sj,22,0.0568,0.03983333,0.06226667,0.07591429,0.76,299.78,294.76,297.3,4.36,74.0842857143,3.54285714286,27.6142857143,7.08571428571,33.3,23.3,84.1,11.916415142214202
sj,23,-0.044,-0.03046667,0.132,0.08352857,71.17,299.768571429,295.314285714,297.6,22.55,76.5571428571,2.85714285714,28,5.17142857143,32.8,25,27.7,13.333106960711659
sj,24,-0.0443,-0.024925,0.1322714,0.1591571,48.99,300.062857143,295.65,297.5,13.1,76.8442857143,3.15714285714,27.4,6.04285714286,31.1,23.3,91.7,11.332618905208752
sj,25,-0.0443,0.08215,0.1443714,0.1167286,30.81,300.484285714,295.997142857,297.5,7.2,76.87,3.9,28.7571428571,6.98571428571,34.4,24.4,0.3,17.50273773140467
sj,26,0.0108,0.0499,0.1005714,0.1173286,8.02,300.601428571,296.268571429,298.5,17.1,77.3957142857,2.78571428571,28.6571428571,6.24285714286,32.8,23.9,28.7,14.490111858577082
sj,27,0.07266667,0.10666,0.1554286,0.1649,17.52,300.497142857,296.411428571,298.7,11.9,78.5342857143,2.22857142857,28.4571428571,4.62857142857,31.1,25,2.9,15.126063119481575
sj,28,-0.04645,0.006825,0.2602857,0.2147286,16.37,300.214285714,295.824285714,299,19.86,77.0214285714,2.02857142857,27.7142857143,5.91428571429,31.1,23.9,22.1,12.89748995391173
sj,29,-0.04645,0.006825,0.1958429,0.1761571,4.34,300.448571429,296.177142857,298.7,5.49,77.6157142857,2.61428571429,28.7857142857,5.01428571429,31.7,26.1,0,19.401102516395895
sj,30,0.2083,0.4295,0.2776833,0.24565,3.39,300.598571429,296.512857143,298.9,13.62,78.56,2.58571428571,28.6857142857,6.31428571429,32.8,24.4,7.1,25.467767138865188
sj,31,2e-4,0.0039,0.1090667,0.08648333,13.73,300.73,296.202857143,299.2,8.7,76.5214285714,2.8,28.9857142857,6.17142857143,32.8,25,5.1,22.734114510644616
sj,32,0.1122,0.0322,0.1941857,0.2057714,50.94,300.741428571,297.047142857,299.1,43.5,80.3714285714,2.42857142857,28.3571428571,5.85714285714,32.2,23.9,37.6,27.043351785673266
sj,33,0.1122,0.0322,0.0589,0.06564286,4.28,301.15,296.912857143,299,7.82,77.9685714286,2.74285714286,29.2142857143,6.34285714286,33.9,25,1.8,23.375639293419162
sj,34,0.28915,0.2410333,0.2406,0.2085571,31.97,300.735714286,296.828571429,298.6,65.9,79.5471428571,2.54285714286,28.9714285714,5.32857142857,32.2,24.4,54.9,21.54492759420744
sj,35,0.1132,0.2410333,0.2260833,0.1982429,19.67,301.022857143,297.218571429,298.9,31.6,79.8642857143,2.7,28.8571428571,5.47142857143,32.2,24.4,16.2,28.343379118753347
sj,36,0.1132,0.0173,0.1904167,0.1199833,60.56,301.225714286,297.4,298.9,50,80.0242857143,3.37142857143,29.3571428571,6.41428571429,35,25,6.9,32.908509534791726
sj,37,0.3619,0.649,0.1464,0.1313857,126.68,300.804285714,297.275714286,298.8,58.4,81.3242857143,2.98571428571,28.3857142857,6.42857142857,34.4,23.3,45.1,31.799842133380707
sj,38,0.091375,0.16405,0.2516667,0.19645,48.44,300.757142857,297.081428571,298.9,28.1,80.4485714286,3.11428571429,28.2285714286,6.27142857143,32.8,24.4,20.4,33.964183470407185
sj,39,0.0795,0.103675,0.2826857,0.2613,153.79,300.378571429,296.535714286,298.1,136.91,79.8614285714,2.81428571429,27.4,5.85714285714,32.2,22.8,146.3,30.018846582945226
sj,40,-0.13735,0.13095,0.2718857,0.2700286,54.96,300.564285714,296.882857143,297.4,37.5,80.42,3.05714285714,28.3571428571,7.05714285714,34.4,22.2,37.1,25.45591512841771
sj,41,0.1306,0.0897,0.1860857,0.1964429,6.16,300.715714286,296.164285714,298.7,21.1,76.3614285714,2.91428571429,28.1714285714,5.94285714286,31.7,24.4,8.5,31.87080279373283
sj,42,0.1834,0.11755,0.1524571,0.1425,60.42,300.234285714,296.2,298,40.4,78.6585714286,3.12857142857,27.2142857143,6.2,32.8,22.8,73,35.90992264404439
sj,43,0.03325,0.07486667,0.3363143,0.2526571,91.7,299.734285714,295.888571429,297.8,22.7,79.4928571429,2.52857142857,27.0142857143,5.32857142857,31.7,23.3,16.5,38.15718197199217
sj,44,0.0834,0.0757,0.07362857,0.1237286,0,300.352857143,295.407142857,298.4,9.9,74.5057142857,2.57142857143,27.6428571429,5.74285714286,31.1,23.9,6.4,40.719455693770044
sj,45,-0.0944,-0.00495,0.1438,0.1303143,12.23,300.077142857,296.432857143,298.2,58.03,80.6185714286,2.6,27.6142857143,5.75714285714,31.1,24.4,36.6,29.761463711210254
sj,46,0.1011,0.074,0.2376,0.1755286,12.64,300.137142857,295.854285714,297.9,19.6,77.6342857143,3.3,27.3857142857,5.92857142857,30.6,23.9,6.4,31.076050483192404
sj,47,0.1011,0.044,0.2210429,0.1835286,22.49,299.712857143,295.664285714,298,49.42,78.64,2.51428571429,26.8142857143,5.71428571429,30.6,23.3,56.9,29.687971020678827
sj,48,0.03925,0.0731,0.1884,0.2118714,9.3,299.355714286,294.764285714,297.8,31.83,75.9971428571,2.14285714286,26.4857142857,5.45714285714,30,22.8,32.8,32.15241376911662
sj,49,-0.0874,0.1729,0.1455833,0.1098333,3.64,298.582857143,292.44,296.7,0.72,68.9442857143,2.57142857143,25.2285714286,6.48571428571,28.9,21.7,4.1,23.642515026706857
sj,50,0.0362,0.06956667,0.2926429,0.2735,0,298.552857143,293.29,296.7,9.52,72.79,1.91428571429,25.5571428571,5.65714285714,28.9,22.2,11.2,36.44705729947397
sj,51,0.0306,0.0238,0.2890286,0.2582286,7.75,298.575714286,294.054285714,297.2,25.75,76.2185714286,2.08571428571,26.2714285714,6.11428571429,30.6,21.7,37.9,19.31446239487902
sj,52,-0.00395,-0.0159,0.1993143,0.16795,0,297.788571429,292.737142857,294.9,17.5,73.7785714286,2.6,25.0714285714,6.02857142857,28.9,20.6,11.7,20.469514534048255
sj,1,0.5004,0.161425,0.1607857,0.18865,0,297.788571429,292.737142857,294.9,17.5,73.7785714286,2.6,25.0714285714,6.02857142857,28.9,20.6,11.7,21.251888168670988
sj,2,-0.0814,0.0081,0.35324,0.2524,0,297.751428571,292.747142857,294.3,3.45,73.9542857143,2.87142857143,25.0714285714,6.2,28.9,20.6,3.6,15.48987431752034
sj,3,0.0764,0.0102,0.1719333,0.1197714,0,298.291428571,294.052857143,297.2,6.5,77.5228571429,1.98571428571,25.9285714286,6.02857142857,29.4,22.2,8.5,26.99035100326475
sj,4,0.03183333,0.01133333,0.1108286,0.1701429,9.09,297.921428571,294.185714286,296.4,29.9,80.02,2.5,25.9,6.11428571429,31.1,21.7,18.6,25.869789458326466
sj,5,0.0626,-0.00625,0.2114667,0.1452333,0,298.042857143,294.595714286,296.6,21.1,81.3328571429,2.28571428571,26.1857142857,6.51428571429,31.1,21.7,22.6,23.01983374394147
sj,6,0.0162,6.25e-4,0.1229,0.1317,0,297.89,293.738571429,295.6,12,77.83,2.78571428571,25.5714285714,5.78571428571,30,21.7,11.7,17.157742658264674
sj,7,0.0558,0.07665,0.2572,0.2180143,0,297.542857143,293.19,295.7,32.43,76.9514285714,2.32857142857,25.3571428571,6.4,30.6,21.7,62.8,14.071628390731187
sj,8,0.0374,0.07305,0.1799714,0.1514429,11.01,297.355714286,292.295714286,295.9,31.2,73.5842857143,2.35714285714,25.0285714286,5.71428571429,30,21.7,14.6,19.269518175133804
sj,9,0.4708,0.2018,0.3043,0.2088167,5.82,297.605714286,292.488571429,295,5,73.2571428571,2.35714285714,25.2,6.25714285714,30,20.6,5.8,16.956404699835616
sj,10,0.0714,-0.05,0.2076714,0.1410571,63.28,297.9,293.015714286,296.3,4.08,74.3057142857,2.7,25.7285714286,6.88571428571,30,21.7,1,12.131565689384718
sj,11,0.0714,-0.0287,0.07662857,0.08174286,31.47,296.804285714,292.012857143,295.2,33.5,74.9171428571,1.8,25.5,4.84285714286,31.1,21.7,21.6,11.335092270046777
sj,12,0.0025,0.00592,0.2417714,0.1799143,0,296.651428571,291.351428571,295.2,10.06,72.2585714286,2.18571428571,25,5.37142857143,28.3,21.1,25.5,7.069175367536893
sj,13,-0.1295667,-0.06473333,0.1990714,0.1755429,9.09,297.07,292.311428571,295.1,24.84,74.93,3.65714285714,25.2714285714,6.88571428571,30,21.1,21.9,5.441532061566814
sj,14,0.1003,0.1035,0.1227,0.1065143,3.79,296.692857143,291.425714286,294.1,9.4,72.4642857143,2.41428571429,25.0571428571,5.54285714286,28.9,21.1,3.8,8.437399948225954
sj,15,-0.04683333,0.03844,0.1654429,0.1341857,0,297.508571429,292.701428571,296,3.74,74.7285714286,2.91428571429,25.7285714286,6.41428571429,30,21.7,13,9.145233601767545
sj,16,-0.04683333,-0.0276,0.1130286,0.1084429,0,298.248571429,293.241428571,296.1,0.5,73.9214285714,3.28571428571,26.5714285714,7,30.6,22.8,0.9,10.491699940017712
sj,17,-0.0266,0.0271,0.1302286,0.1296143,14.71,298.532857143,293.582857143,296.1,4.5,74.1928571429,3.2,26.8,7.54285714286,32.8,22.2,35,10.964812917645252
sj,18,0.0558,0.0407,0.1873143,0.1395286,18.69,298.602857143,294.055714286,296.9,10.9,76.1242857143,2.35714285714,26.7285714286,6.21428571429,31.7,22.2,23.6,11.752115003878325
sj,19,0.0584,0.0277,0.048,0.04892857,8.25,298.071428571,293.538571429,295.6,15.6,76.06,2.65714285714,26.2571428571,5.41428571429,30,22.2,13.7,7.8140846594028055
sj,20,0.03605,0.05396667,0.1071429,0.1168571,34.87,298.218571429,294.987142857,297.1,29.93,82.3328571429,1.74285714286,26.5857142857,4.7,30.6,23.3,23.4,12.086458566658889
sj,21,0.0736,0.04505,0.1062143,0.1195857,28.6,297.971428571,294.715714286,296.6,65.47,82.2571428571,1.8,26.2571428571,4.72857142857,29.4,22.8,44.2,7.117216380167289
sj,22,0.0736,0.044,0.2181571,0.1863,92.89,299.265714286,296.405714286,297.4,18.3,84.4142857143,2.5,27.6142857143,5.71428571429,31.1,23.9,46.7,12.121083772676837
sj,23,-0.0021,0.0656,0.1694714,0.1681,19.06,299.744285714,295.607142857,297.3,5.22,78.3085714286,2.81428571429,27.7571428571,5.8,33.3,23.3,44.7,12.549067447483033
sj,24,-0.0021,0.0713,0.08968571,0.0782,34.18,299.56,295.655714286,297.9,23.83,79.2714285714,2.62857142857,27.8142857143,6.45714285714,32.2,23.9,78.7,15.401872675916342
sj,25,0.03945,0.035,0.1112143,0.1364286,55.21,299.951428571,296.131428571,298.4,8.61,79.7214285714,2.45714285714,28.0571428571,6.28571428571,32.8,24.4,80.1,16.336354208854697
sj,26,0.02156667,0.01685,0.18475,0.2024143,38.8,300.241428571,295.688571429,298.2,9.6,76.37,2.91428571429,28.6571428571,6.98571428571,33.3,24.4,40,13.32135646467936
sj,27,-0.0798,0.00745,0.2403333,0.2286,19.38,300.621428571,296.245714286,297.7,4,77.3214285714,3.75714285714,29.7857142857,6.65714285714,33.9,26.1,0,13.175378257419366
sj,28,0.02915,0.1117333,0.1795286,0.1759714,40.29,300.87,296.43,298.8,11.49,76.9185714286,2.82857142857,29.1285714286,6.57142857143,33.9,23.9,50,17.14108722886681
sj,29,0.0501,0.069,0.2032333,0.2080429,5.22,300.717142857,296.75285714300003,298.7,15.43,79.1828571429,2.87142857143,29.3571428571,5.34285714286,32.8,26.1,12.7,20.774081124160016
sj,30,0.0067,0.05496667,0.1936286,0.1653857,8.15,300.758571429,296.877142857,298.8,27.4,79.5842857143,2.82857142857,29.3285714286,5.95714285714,32.8,24.4,28.2,24.257726710586017
sj,31,0.0838,0.1409333,0.1300714,0.1130571,26.35,300.865714286,296.812857143,299,26.64,78.73,2.65714285714,29.3714285714,6.18571428571,32.8,23.9,61.5,23.961970632067963
sj,32,-0.002,-0.035525,0.2497143,0.1535429,6.73,300.83,296.532857143,299.4,20.01,77.5728571429,2.35714285714,29.3142857143,5.55714285714,32.8,25.6,9.4,27.31011775399899
sj,33,0.0323,0.04776667,0.1554143,0.1342714,16.15,300.924285714,296.681428571,298.9,21.5,77.8357142857,2.34285714286,28.8142857143,6.32857142857,33.3,25,36.1,21.571407983392454
sj,34,0.0323,0.02,0.1940333,0.2151857,90.59,300.72,296.764285714,299.1,49.1,79.1828571429,2.45714285714,28.9142857143,5.78571428571,32.8,25.6,86.7,20.144511631609504
sj,35,0.0323,-2.333333e-4,0.2517,0.2129143,15.02,300.877142857,297.01,298.4,32.72,79.7,2.88571428571,29.4714285714,5.22857142857,33.9,26.7,11.3,26.713206925061982
sj,36,-0.01276667,9e-4,0.1799,0.1595143,9.63,301.101428571,296.554285714,299.1,8.1,76.5442857143,2.82857142857,29.5285714286,7.07142857143,35,24.4,76.3,30.145826116963885
sj,37,0.0595,0.08106,0.1314286,0.09584286,30.56,300.621428571,296.908571429,298.3,49.2,80.3257142857,2.5,28.6428571429,5.02857142857,31.7,23.3,21.4,30.66397398121079
sj,38,0.0879,0.07886667,0.08078571,0.07994286,9.52,300.842857143,296.588571429,298.5,10,77.8542857143,3.35714285714,29.2,6.34285714286,34.4,25,104.7,35.32388864863283
sj,39,-0.06316667,0.058325,0.1537143,0.1367429,53.19,300.772857143,296.405714286,298.8,23.52,77.2185714286,2.98571428571,28.6428571429,6.54285714286,34.4,23.9,35.8,31.043295575668996
sj,40,-0.06316667,0.006025,0.1571,0.1427429,43.31,301.144285714,297.052857143,299.1,15.4,78.5514285714,3.01428571429,29.3571428571,5.78571428571,33.3,25.6,1.6,29.54213685216204
sj,41,0.3461,0.04855,0.1787667,0.2105,60.94,301.345714286,297.091428571,299.4,28.47,77.7671428571,2.58571428571,29.7285714286,6.1,33.3,26.1,7.4,35.759651900971406
sj,42,0.19475,0.135325,0.2547429,0.2541143,20.01,301.045714286,297.228571429,299.2,40.1,79.9157142857,2.88571428571,29.5428571429,5.38571428571,33.3,25.6,29.5,36.1755407488876
sj,43,-0.07906667,-0.12845,0.2722429,0.2278143,5.52,300.831428571,296.9,299,18.7,79.3128571429,2.54285714286,28.9857142857,6.34285714286,33.3,24.4,18.6,37.986128092160534
